UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,SUN DURATION,DAYS,Sun duration in min,Time measurment
1475220021.0,9/29/16 12:00 AM,21:20:21,1.2,50.0,30.47,93.0,165.93,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1280.0
1475219723.0,9/29/16 12:00 AM,21:15:23,1.24,50.0,30.47,93.0,139.82,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,1275.0
1475219420.0,9/29/16 12:00 AM,21:10:20,1.21,49.0,30.47,93.0,166.07,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,1270.0
1475219126.0,9/29/16 12:00 AM,21:05:26,1.24,50.0,30.47,93.0,116.16,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1265.0
1475218820.0,9/29/16 12:00 AM,21:00:20,1.2,50.0,30.47,92.0,157.48,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1260.0
1475218518.0,9/29/16 12:00 AM,20:55:18,1.19,50.0,30.47,91.0,112.27,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,1255.0
1475218220.0,9/29/16 12:00 AM,20:50:20,1.25,50.0,30.47,90.0,133.69,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1250.0
1475217924.0,9/29/16 12:00 AM,20:45:24,1.25,50.0,30.47,88.0,140.64,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1245.0
1475217619.0,9/29/16 12:00 AM,20:40:19,1.23,50.0,30.47,87.0,52.89,1.12,06:13:00,18:13:00,12:00:00,29.0,720.0,1240.0
1475217319.0,9/29/16 12:00 AM,20:35:19,1.21,50.0,30.47,86.0,132.66,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1235.0
1475217018.0,9/29/16 12:00 AM,20:30:18,1.25,50.0,30.46,85.0,138.35,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1230.0
1475216720.0,9/29/16 12:00 AM,20:25:20,1.23,50.0,30.46,84.0,109.87,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1225.0
1475216423.0,9/29/16 12:00 AM,20:20:23,1.23,50.0,30.47,81.0,123.25,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1220.0
1475216120.0,9/29/16 12:00 AM,20:15:20,1.26,50.0,30.46,75.0,158.64,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1215.0
1475215822.0,9/29/16 12:00 AM,20:10:22,1.17,50.0,30.46,70.0,165.22,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1210.0
1475215522.0,9/29/16 12:00 AM,20:05:22,1.22,50.0,30.46,63.0,160.51,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1205.0
1475215218.0,9/29/16 12:00 AM,20:00:18,1.22,50.0,30.46,51.0,155.36,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1200.0
1475214923.0,9/29/16 12:00 AM,19:55:23,1.22,50.0,30.46,47.0,157.78,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1195.0
1475214622.0,9/29/16 12:00 AM,19:50:22,1.24,50.0,30.46,46.0,151.6,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1190.0
1475214325.0,9/29/16 12:00 AM,19:45:25,1.25,50.0,30.46,47.0,105.78,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1185.0
1475214022.0,9/29/16 12:00 AM,19:40:22,1.19,50.0,30.46,48.0,135.55,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1180.0
1475213722.0,9/29/16 12:00 AM,19:35:22,1.19,50.0,30.46,56.0,140.92,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1175.0
1475213420.0,9/29/16 12:00 AM,19:30:20,1.23,50.0,30.46,57.0,165.0,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1170.0
1475213121.0,9/29/16 12:00 AM,19:25:21,1.19,51.0,30.46,55.0,126.63,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1165.0
1475212820.0,9/29/16 12:00 AM,19:20:20,1.23,51.0,30.46,54.0,119.97,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1160.0
1475212522.0,9/29/16 12:00 AM,19:15:22,1.22,51.0,30.45,53.0,95.57,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1155.0
1475212224.0,9/29/16 12:00 AM,19:10:24,1.24,51.0,30.45,51.0,100.02,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1150.0
1475211920.0,9/29/16 12:00 AM,19:05:20,1.24,51.0,30.45,51.0,111.73,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1145.0
1475211624.0,9/29/16 12:00 AM,19:00:24,1.23,51.0,30.45,52.0,145.77,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1140.0
1475211319.0,9/29/16 12:00 AM,18:55:19,1.23,51.0,30.45,51.0,105.89,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1135.0
1475211024.0,9/29/16 12:00 AM,18:50:24,1.24,51.0,30.45,52.0,120.86,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1130.0
1475210719.0,9/29/16 12:00 AM,18:45:19,1.23,51.0,30.44,55.0,170.11,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1125.0
1475210421.0,9/29/16 12:00 AM,18:40:21,1.21,52.0,30.44,55.0,107.15,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1120.0
1475210121.0,9/29/16 12:00 AM,18:35:21,1.24,52.0,30.44,55.0,129.29,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1115.0
1475209823.0,9/29/16 12:00 AM,18:30:23,1.18,52.0,30.45,59.0,158.73,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1110.0
1475209519.0,9/29/16 12:00 AM,18:25:19,1.52,52.0,30.44,59.0,211.38,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1105.0
1475209223.0,9/29/16 12:00 AM,18:20:23,5.07,53.0,30.44,61.0,174.97,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1100.0
1475208921.0,9/29/16 12:00 AM,18:15:21,6.16,53.0,30.44,62.0,120.78,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,1095.0
1475208652.0,9/29/16 12:00 AM,18:10:52,6.63,53.0,30.44,59.0,118.82,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1091.0
1475208322.0,9/29/16 12:00 AM,18:05:22,10.96,54.0,30.44,59.0,154.16,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1085.0
1475208022.0,9/29/16 12:00 AM,18:00:22,19.42,55.0,30.44,57.0,58.42,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1080.0
1475207722.0,9/29/16 12:00 AM,17:55:22,27.14,55.0,30.44,53.0,47.86,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1075.0
1475207419.0,9/29/16 12:00 AM,17:50:19,33.75,56.0,30.44,52.0,74.56,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1070.0
1475207122.0,9/29/16 12:00 AM,17:45:22,49.57,56.0,30.44,49.0,25.72,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1065.0
1475206822.0,9/29/16 12:00 AM,17:40:22,59.62,56.0,30.44,50.0,102.11,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1060.0
1475206538.0,9/29/16 12:00 AM,17:35:38,87.23,56.0,30.44,48.0,67.49,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1056.0
1475206225.0,9/29/16 12:00 AM,17:30:25,109.93,56.0,30.43,49.0,180.29,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1050.0
1475205925.0,9/29/16 12:00 AM,17:25:25,130.82,57.0,30.43,57.0,150.2,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1045.0
1475205625.0,9/29/16 12:00 AM,17:20:25,160.52,57.0,30.43,55.0,47.3,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1040.0
1475205320.0,9/29/16 12:00 AM,17:15:20,191.37,58.0,30.43,52.0,333.81,1.12,06:13:00,18:13:00,12:00:00,29.0,720.0,1035.0
1475205020.0,9/29/16 12:00 AM,17:10:20,207.05,58.0,30.43,49.0,41.62,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1030.0
1475204722.0,9/29/16 12:00 AM,17:05:22,240.99,58.0,30.43,45.0,132.36,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1025.0
1475204424.0,9/29/16 12:00 AM,17:00:24,274.83,58.0,30.43,41.0,332.09,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1020.0
1475204125.0,9/29/16 12:00 AM,16:55:25,300.94,58.0,30.43,55.0,45.88,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1015.0
1475203822.0,9/29/16 12:00 AM,16:50:22,322.71,58.0,30.43,56.0,94.24,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,1010.0
1475203538.0,9/29/16 12:00 AM,16:45:38,346.59,58.0,30.43,50.0,81.57,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1006.0
1475203220.0,9/29/16 12:00 AM,16:40:20,364.18,58.0,30.43,49.0,351.03,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,1000.0
1475202941.0,9/29/16 12:00 AM,16:35:41,368.35,58.0,30.43,51.0,78.81,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,996.0
1475202622.0,9/29/16 12:00 AM,16:30:22,362.84,58.0,30.43,46.0,85.96,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,990.0
1475202321.0,9/29/16 12:00 AM,16:25:21,423.9,59.0,30.43,48.0,19.78,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,985.0
1475202025.0,9/29/16 12:00 AM,16:20:25,457.69,58.0,30.43,59.0,18.26,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,980.0
1475201723.0,9/29/16 12:00 AM,16:15:23,511.38,58.0,30.43,52.0,69.08,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,975.0
1475201422.0,9/29/16 12:00 AM,16:10:22,566.83,58.0,30.43,52.0,40.87,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,970.0
1475201120.0,9/29/16 12:00 AM,16:05:20,187.96,58.0,30.43,49.0,0.13,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,965.0
1475200820.0,9/29/16 12:00 AM,16:00:20,310.59,59.0,30.43,58.0,27.34,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,960.0
1475200522.0,9/29/16 12:00 AM,15:55:22,230.26,59.0,30.43,46.0,359.93,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,955.0
1475200221.0,9/29/16 12:00 AM,15:50:21,623.31,60.0,30.43,46.0,22.18,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,950.0
1475199922.0,9/29/16 12:00 AM,15:45:22,312.1,60.0,30.43,48.0,4.38,10.12,06:13:00,18:13:00,12:00:00,29.0,720.0,945.0
1475199624.0,9/29/16 12:00 AM,15:40:24,803.72,60.0,30.43,44.0,355.03,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,940.0
1475199319.0,9/29/16 12:00 AM,15:35:19,671.97,60.0,30.42,47.0,0.4,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,935.0
1475199020.0,9/29/16 12:00 AM,15:30:20,670.32,60.0,30.42,51.0,53.16,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,930.0
1475198721.0,9/29/16 12:00 AM,15:25:21,679.73,60.0,30.42,48.0,353.87,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,925.0
1475198424.0,9/29/16 12:00 AM,15:20:24,687.62,60.0,30.43,54.0,2.04,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,920.0
1475198118.0,9/29/16 12:00 AM,15:15:18,697.66,61.0,30.42,53.0,34.85,11.25,06:13:00,18:13:00,12:00:00,29.0,720.0,915.0
1475197821.0,9/29/16 12:00 AM,15:10:21,716.27,61.0,30.42,44.0,11.08,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,910.0
1475197523.0,9/29/16 12:00 AM,15:05:23,744.43,61.0,30.43,50.0,1.6,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,905.0
1475197330.0,9/29/16 12:00 AM,15:02:10,612.34,61.0,30.42,53.0,345.21,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,902.0
1475196921.0,9/29/16 12:00 AM,14:55:21,760.9,61.0,30.42,50.0,165.42,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,895.0
1475196621.0,9/29/16 12:00 AM,14:50:21,773.71,61.0,30.42,57.0,30.3,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,890.0
1475196318.0,9/29/16 12:00 AM,14:45:18,790.08,61.0,30.42,59.0,34.24,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,885.0
1475196023.0,9/29/16 12:00 AM,14:40:23,804.28,61.0,30.42,59.0,19.11,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,880.0
1475195724.0,9/29/16 12:00 AM,14:35:24,818.82,61.0,30.42,53.0,84.61,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,875.0
1475195419.0,9/29/16 12:00 AM,14:30:19,855.63,62.0,30.42,51.0,31.88,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,870.0
1475195120.0,9/29/16 12:00 AM,14:25:20,875.16,62.0,30.42,58.0,149.48,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,865.0
1475194821.0,9/29/16 12:00 AM,14:20:21,867.9,62.0,30.42,54.0,62.54,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,860.0
1475194527.0,9/29/16 12:00 AM,14:15:27,872.67,62.0,30.43,58.0,39.59,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,855.0
1475194220.0,9/29/16 12:00 AM,14:10:20,890.52,62.0,30.43,50.0,122.13,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,850.0
1475193619.0,9/29/16 12:00 AM,14:00:19,911.06,62.0,30.43,53.0,65.07,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,840.0
1475193320.0,9/29/16 12:00 AM,13:55:20,925.16,62.0,30.43,49.0,69.79,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,835.0
1475193020.0,9/29/16 12:00 AM,13:50:20,933.15,62.0,30.43,47.0,346.87,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,830.0
1475192721.0,9/29/16 12:00 AM,13:45:21,942.73,62.0,30.43,53.0,359.93,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,825.0
1475192421.0,9/29/16 12:00 AM,13:40:21,955.74,62.0,30.43,50.0,9.92,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,820.0
1475192121.0,9/29/16 12:00 AM,13:35:21,959.47,62.0,30.43,54.0,19.98,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,815.0
1475191820.0,9/29/16 12:00 AM,13:30:20,970.22,62.0,30.43,57.0,0.9,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,810.0
1475191518.0,9/29/16 12:00 AM,13:25:18,974.87,62.0,30.43,54.0,19.13,11.25,06:13:00,18:13:00,12:00:00,29.0,720.0,805.0
1475191220.0,9/29/16 12:00 AM,13:20:20,985.22,62.0,30.44,53.0,61.93,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,800.0
1475190925.0,9/29/16 12:00 AM,13:15:25,992.19,62.0,30.43,50.0,63.35,10.12,06:13:00,18:13:00,12:00:00,29.0,720.0,795.0
1475190622.0,9/29/16 12:00 AM,13:10:22,997.26,62.0,30.44,56.0,171.18,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,790.0
1475190322.0,9/29/16 12:00 AM,13:05:22,1004.6,62.0,30.44,54.0,45.65,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,785.0
1475190019.0,9/29/16 12:00 AM,13:00:19,1007.96,63.0,30.44,54.0,15.92,11.25,06:13:00,18:13:00,12:00:00,29.0,720.0,780.0
1475189722.0,9/29/16 12:00 AM,12:55:22,1013.59,63.0,30.44,54.0,130.14,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,775.0
1475189420.0,9/29/16 12:00 AM,12:50:20,1020.55,62.0,30.44,51.0,21.54,10.12,06:13:00,18:13:00,12:00:00,29.0,720.0,770.0
1475189119.0,9/29/16 12:00 AM,12:45:19,1025.63,62.0,30.44,45.0,70.89,15.75,06:13:00,18:13:00,12:00:00,29.0,720.0,765.0
1475188820.0,9/29/16 12:00 AM,12:40:20,1029.41,63.0,30.45,46.0,59.62,12.37,06:13:00,18:13:00,12:00:00,29.0,720.0,760.0
1475188520.0,9/29/16 12:00 AM,12:35:20,1034.46,63.0,30.45,43.0,79.08,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,755.0
1475188219.0,9/29/16 12:00 AM,12:30:19,1033.54,63.0,30.45,43.0,359.46,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,750.0
1475187921.0,9/29/16 12:00 AM,12:25:21,1039.06,63.0,30.45,40.0,59.89,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,745.0
1475187620.0,9/29/16 12:00 AM,12:20:20,1039.67,63.0,30.45,39.0,40.66,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,740.0
1475187320.0,9/29/16 12:00 AM,12:15:20,1037.76,64.0,30.46,41.0,20.44,14.62,06:13:00,18:13:00,12:00:00,29.0,720.0,735.0
1475187024.0,9/29/16 12:00 AM,12:10:24,1039.52,64.0,30.45,41.0,40.4,13.5,06:13:00,18:13:00,12:00:00,29.0,720.0,730.0
1475186720.0,9/29/16 12:00 AM,12:05:20,1040.14,63.0,30.45,41.0,117.62,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,725.0
1475186427.0,9/29/16 12:00 AM,12:00:27,1039.22,63.0,30.46,42.0,354.78,1.12,06:13:00,18:13:00,12:00:00,29.0,720.0,720.0
1475186120.0,9/29/16 12:00 AM,11:55:20,1035.99,63.0,30.46,41.0,35.68,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,715.0
1475185820.0,9/29/16 12:00 AM,11:50:20,1033.49,63.0,30.46,39.0,350.0,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,710.0
1475185518.0,9/29/16 12:00 AM,11:45:18,1029.15,63.0,30.46,41.0,14.63,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,705.0
1475185220.0,9/29/16 12:00 AM,11:40:20,1025.51,63.0,30.46,41.0,349.53,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,700.0
1475184919.0,9/29/16 12:00 AM,11:35:19,1023.78,63.0,30.46,41.0,31.9,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,695.0
1475184622.0,9/29/16 12:00 AM,11:30:22,1017.57,63.0,30.47,37.0,339.83,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,690.0
1475184320.0,9/29/16 12:00 AM,11:25:20,1013.93,63.0,30.47,34.0,67.14,11.25,06:13:00,18:13:00,12:00:00,29.0,720.0,685.0
1475184021.0,9/29/16 12:00 AM,11:20:21,1009.36,63.0,30.47,34.0,61.67,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,680.0
1475183722.0,9/29/16 12:00 AM,11:15:22,1002.89,63.0,30.47,33.0,32.74,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,675.0
1475183516.0,9/29/16 12:00 AM,11:11:56,999.19,63.0,30.47,31.0,4.51,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,672.0
1475183122.0,9/29/16 12:00 AM,11:05:22,987.02,62.0,30.47,36.0,38.9,10.12,06:13:00,18:13:00,12:00:00,29.0,720.0,665.0
1475182823.0,9/29/16 12:00 AM,11:00:23,981.66,63.0,30.47,40.0,28.85,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,660.0
1475182521.0,9/29/16 12:00 AM,10:55:21,973.79,63.0,30.47,35.0,114.97,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,655.0
1475182222.0,9/29/16 12:00 AM,10:50:22,964.46,63.0,30.47,37.0,60.94,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,650.0
1475181920.0,9/29/16 12:00 AM,10:45:20,957.02,62.0,30.47,40.0,37.85,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,645.0
1475181622.0,9/29/16 12:00 AM,10:40:22,946.32,62.0,30.47,44.0,38.03,11.25,06:13:00,18:13:00,12:00:00,29.0,720.0,640.0
1475181322.0,9/29/16 12:00 AM,10:35:22,933.08,62.0,30.47,45.0,37.37,11.25,06:13:00,18:13:00,12:00:00,29.0,720.0,635.0
1475181021.0,9/29/16 12:00 AM,10:30:21,926.79,62.0,30.47,43.0,10.44,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,630.0
1475180719.0,9/29/16 12:00 AM,10:25:19,915.84,62.0,30.47,42.0,5.51,11.25,06:13:00,18:13:00,12:00:00,29.0,720.0,625.0
1475180419.0,9/29/16 12:00 AM,10:20:19,901.65,62.0,30.47,42.0,24.74,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,620.0
1475180123.0,9/29/16 12:00 AM,10:15:23,899.53,61.0,30.47,46.0,37.67,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,615.0
1475179820.0,9/29/16 12:00 AM,10:10:20,878.76,62.0,30.47,49.0,61.93,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,610.0
1475179523.0,9/29/16 12:00 AM,10:05:23,867.98,61.0,30.47,44.0,359.93,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,605.0
1475179225.0,9/29/16 12:00 AM,10:00:25,855.89,62.0,30.47,41.0,26.99,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,600.0
1475178921.0,9/29/16 12:00 AM,09:55:21,841.52,61.0,30.47,42.0,21.37,9.0,06:13:00,18:13:00,12:00:00,29.0,720.0,595.0
1475178622.0,9/29/16 12:00 AM,09:50:22,830.19,62.0,30.47,38.0,52.73,10.12,06:13:00,18:13:00,12:00:00,29.0,720.0,590.0
1475178319.0,9/29/16 12:00 AM,09:45:19,815.1,62.0,30.47,39.0,61.67,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,585.0
1475178020.0,9/29/16 12:00 AM,09:40:20,799.29,62.0,30.47,41.0,42.59,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,580.0
